sae_feature_id,count_wrong,count_correct,layer,type,num_correct_samples_in_type,num_wrong_samples_in_type,freq_correct_within_type,freq_wrong_within_type,freq_diff_wrong_minus_correct_within_type
2398,4.0,3.0,1,author,5,4,0.6,1.0,0.4
13092,4.0,3.0,1,author,5,4,0.6,1.0,0.4
13092,3.0,2.0,1,producer,3,3,0.6666666666666666,1.0,0.33333333333333337
2398,2.0,1.0,1,composer,3,3,0.3333333333333333,0.6666666666666666,0.3333333333333333
4857,1.0,0.0,1,composer,3,3,0.0,0.3333333333333333,0.3333333333333333
3228,2.0,1.0,1,producer,3,3,0.3333333333333333,0.6666666666666666,0.3333333333333333
9779,5.0,1.0,1,director,3,8,0.3333333333333333,0.625,0.2916666666666667
4857,3.0,1.0,1,screenwriter,3,5,0.3333333333333333,0.6,0.26666666666666666
2398,4.0,2.0,1,screenwriter,3,5,0.6666666666666666,0.8,0.13333333333333341
15477,1.0,0.0,1,director,3,8,0.0,0.125,0.125
2398,2.0,7.0,1,father,8,2,0.875,1.0,0.125
15477,2.0,7.0,1,father,8,2,0.875,1.0,0.125
15477,2.0,1.0,1,screenwriter,3,5,0.3333333333333333,0.4,0.06666666666666671
164,4.0,5.0,1,author,5,4,1.0,1.0,0.0
886,4.0,5.0,1,author,5,4,1.0,1.0,0.0
3926,4.0,5.0,1,author,5,4,1.0,1.0,0.0
4420,4.0,5.0,1,author,5,4,1.0,1.0,0.0
4608,4.0,5.0,1,author,5,4,1.0,1.0,0.0
4735,4.0,5.0,1,author,5,4,1.0,1.0,0.0
4801,4.0,5.0,1,author,5,4,1.0,1.0,0.0
7293,4.0,5.0,1,author,5,4,1.0,1.0,0.0
9276,4.0,5.0,1,author,5,4,1.0,1.0,0.0
10886,4.0,5.0,1,author,5,4,1.0,1.0,0.0
10934,4.0,5.0,1,author,5,4,1.0,1.0,0.0
10980,4.0,5.0,1,author,5,4,1.0,1.0,0.0
12054,4.0,5.0,1,author,5,4,1.0,1.0,0.0
12177,4.0,5.0,1,author,5,4,1.0,1.0,0.0
14154,4.0,5.0,1,author,5,4,1.0,1.0,0.0
14759,4.0,5.0,1,author,5,4,1.0,1.0,0.0
16012,4.0,5.0,1,author,5,4,1.0,1.0,0.0
164,3.0,3.0,1,composer,3,3,1.0,1.0,0.0
886,3.0,3.0,1,composer,3,3,1.0,1.0,0.0
3228,1.0,1.0,1,composer,3,3,0.3333333333333333,0.3333333333333333,0.0
3926,3.0,3.0,1,composer,3,3,1.0,1.0,0.0
4420,3.0,3.0,1,composer,3,3,1.0,1.0,0.0
4608,3.0,3.0,1,composer,3,3,1.0,1.0,0.0
4735,3.0,3.0,1,composer,3,3,1.0,1.0,0.0
4801,3.0,3.0,1,composer,3,3,1.0,1.0,0.0
