sae_feature_id,count_wrong,count_correct,layer,num_correct_samples,num_wrong_samples,num_total_samples,freq_correct,freq_wrong,total_count,freq_total,freq_difference_wrong_minus_correct,is_common_feature
3162,25.0,6.0,6,110,110,220,0.05454545454545454,0.22727272727272727,31.0,0.1409090909090909,0.17272727272727273,False
12083,56.0,38.0,6,110,110,220,0.34545454545454546,0.509090909090909,94.0,0.42727272727272725,0.16363636363636358,False
2414,43.0,28.0,6,110,110,220,0.2545454545454545,0.39090909090909093,71.0,0.32272727272727275,0.1363636363636364,False
13042,78.0,65.0,6,110,110,220,0.5909090909090909,0.7090909090909091,143.0,0.65,0.11818181818181817,False
15713,78.0,67.0,6,110,110,220,0.6090909090909091,0.7090909090909091,145.0,0.6590909090909091,0.09999999999999998,False
3266,18.0,8.0,6,110,110,220,0.07272727272727272,0.16363636363636364,26.0,0.11818181818181818,0.09090909090909091,False
235,75.0,65.0,6,110,110,220,0.5909090909090909,0.6818181818181818,140.0,0.6363636363636364,0.09090909090909083,False
6913,37.0,28.0,6,110,110,220,0.2545454545454545,0.33636363636363636,65.0,0.29545454545454547,0.08181818181818185,False
13244,80.0,72.0,6,110,110,220,0.6545454545454545,0.7272727272727273,152.0,0.6909090909090909,0.07272727272727275,False
2127,105.0,98.0,6,110,110,220,0.8909090909090909,0.9545454545454546,203.0,0.9227272727272727,0.06363636363636371,True
15854,13.0,6.0,6,110,110,220,0.05454545454545454,0.11818181818181818,19.0,0.08636363636363636,0.06363636363636363,False
14258,64.0,58.0,6,110,110,220,0.5272727272727272,0.5818181818181818,122.0,0.5545454545454546,0.054545454545454564,False
3997,92.0,86.0,6,110,110,220,0.7818181818181819,0.8363636363636363,178.0,0.8090909090909091,0.05454545454545445,True
5758,105.0,100.0,6,110,110,220,0.9090909090909091,0.9545454545454546,205.0,0.9318181818181818,0.045454545454545525,True
10416,21.0,16.0,6,110,110,220,0.14545454545454545,0.19090909090909092,37.0,0.16818181818181818,0.04545454545454547,False
12454,51.0,46.0,6,110,110,220,0.41818181818181815,0.4636363636363636,97.0,0.4409090909090909,0.04545454545454547,False
16150,19.0,14.0,6,110,110,220,0.12727272727272726,0.17272727272727273,33.0,0.15,0.04545454545454547,False
10280,7.0,2.0,6,110,110,220,0.01818181818181818,0.06363636363636363,9.0,0.04090909090909091,0.04545454545454545,False
12762,27.0,22.0,6,110,110,220,0.2,0.24545454545454545,49.0,0.22272727272727272,0.04545454545454544,False
